Provincia,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G
CABA,CONSTITUCION,44107,1,1,1,1,1,1,1,1,1
CORDOBA,Freyre,6620,1,1,0,0,0,1,1,1,1
CORDOBA,La Francia,3720,1,0,0,1,0,1,1,1,1
CORDOBA,La Paquita,947,0,0,0,0,0,0,0,0,1
CORDOBA,La Tordilla,1257,1,0,0,0,0,1,1,1,1
CORDOBA,Las Varas,1320,0,0,0,1,0,0,1,1,1
JUJUY,Jama,67,0,0,0,1,0,0,0,0,0
CABA,PARQUE AVELLANEDA,53229,1,1,1,1,1,1,1,1,1
CORDOBA,Las Varillas,16238,1,1,0,1,1,0,1,1,1
CORDOBA,Marull,1791,0,0,0,1,1,1,1,1,1
CORDOBA,Miramar,2023,0,1,0,0,0,1,1,1,1
CORDOBA,Morteros,16890,1,0,0,1,0,0,1,1,1
BUENOS AIRES,Carlos María Naón,497,0,0,1,0,0,0,1,1,1
BUENOS AIRES,Dudignac,2670,0,0,1,0,0,1,1,1,1
BUENOS AIRES,La Aurora (Est. La Niña),531,0,0,0,0,0,0,0,0,1
BUENOS AIRES,Manuel B. Gonnet (Est. French),748,1,0,0,1,0,0,1,1,1
BUENOS AIRES,Marcelino Ugarte (Est. Dennehy),76,0,0,0,0,0,0,0,0,1
BUENOS AIRES,Morea,347,0,0,0,0,0,0,0,0,0
BUENOS AIRES,Norumbega,57,0,0,0,0,0,0,0,0,0
BUENOS AIRES,Patricios,745,1,0,0,0,0,0,1,1,0
BUENOS AIRES,Villa General Fournier (Est. 9 de Julio Sud),566,0,0,0,1,0,1,1,1,1
BUENOS AIRES,Carhué,9660,1,0,0,1,0,1,1,1,1
BUENOS AIRES,Colonia San Miguel Arcángel,563,1,0,0,0,0,0,1,0,1
BUENOS AIRES,Delfín Huergo,14,0,0,0,0,0,0,0,0,0
BUENOS AIRES,Espartillar,21,0,0,0,0,0,0,0,0,1
BUENOS AIRES,Esteban Agustín Gascón,104,0,0,0,0,0,0,1,0,0
BUENOS AIRES,La Pala,27,0,0,0,0,0,0,0,0,0
BUENOS AIRES,Maza,1748,0,0,0,1,1,1,1,1,1
BUENOS AIRES,El Tropezon,0,0,0,0,0,0,0,0,1,1
BUENOS AIRES,Estanislao Severo Zeballos,26005,1,1,1,1,0,0,1,1,1
BUENOS AIRES,Florencio Varela,149676,1,1,1,1,1,1,1,1,1
BUENOS AIRES,Gobernador Julio A. Costa,61135,1,1,1,1,0,0,1,1,1
BUENOS AIRES,Ingeniero Juan Allan,32994,1,1,0,0,0,0,1,1,1
BUENOS AIRES,La Capilla,0,1,0,0,1,0,0,1,1,1
BUENOS AIRES,Villa Brown,7484,0,1,0,1,0,0,0,1,1
BUENOS AIRES,Villa San Luis,12693,0,1,0,0,0,0,0,1,1
BUENOS AIRES,Villa Santa Rosa,27308,1,1,1,0,0,0,1,1,1
JUJUY,Mina Providencia,30,0,0,0,1,0,0,0,0,0
JUJUY,Olacapato,45,0,0,0,1,0,1,0,0,0
BUENOS AIRES,Batán,10152,1,0,0,1,1,1,1,1,1
BUENOS AIRES,Camet,0,1,0,0,1,0,1,1,1,1
BUENOS AIRES,Chapadmalal,4112,1,0,1,0,1,1,1,1,1
BUENOS AIRES,El Marquesado,196,0,0,0,0,0,1,1,0,0
BUENOS AIRES,Estacion Camet,0,0,0,0,0,0,0,0,1,1
BUENOS AIRES,Estación Chapadmalal,1633,1,0,0,1,0,1,0,1,1
BUENOS AIRES,Mar del Plata,560913,1,1,1,1,1,1,1,1,1
BUENOS AIRES,Punta Mogotes,0,0,0,0,0,0,0,0,1,1
SAN LUIS,Planta De Sandia,0,0,0,0,0,0,0,0,0,0
BUENOS AIRES,Villa Alfredo Fortabat,3451,1,0,0,0,0,1,1,1,1
BUENOS AIRES,Villa Arrieta,0,0,0,0,0,0,0,0,1,1
BUENOS AIRES,Villa La Serranía,167,0,0,0,0,0,0,0,0,1
BUENOS AIRES,Bahía San Blas,611,0,0,1,0,0,1,1,1,1
BUENOS AIRES,Cardenal Cagliero,89,0,0,0,0,0,0,0,0,1
BUENOS AIRES,Carmen de Patagones,20533,1,0,1,1,1,1,1,1,1
BUENOS AIRES,José B. Casas,40,0,0,0,0,0,1,0,0,0
BUENOS AIRES,Juan A. Pradere,521,0,1,0,0,0,1,0,0,1
BUENOS AIRES,Stroeder,1998,0,0,0,1,0,1,1,1,1
BUENOS AIRES,Villalonga,4517,1,0,1,1,0,1,1,1,1
BUENOS AIRES,Capitán Castro,49,0,0,0,0,0,1,0,0,0
BUENOS AIRES,Chiclana,0,0,0,0,0,0,1,0,1,1
BUENOS AIRES,Francisco Madero,1389,0,0,1,0,0,1,1,1,1
BUENOS AIRES,Inocencio Sosa,31,0,0,0,0,0,1,0,0,0
BUENOS AIRES,Pedro Luro,9494,1,1,0,1,0,1,1,1,1
BUENOS AIRES,Teniente Origone,145,0,0,0,0,0,1,1,0,1
BUENOS AIRES,Barrio Saavedra,0,0,0,0,0,0,0,0,1,1
BUENOS AIRES,Country Club El Casco,452,0,0,0,0,0,0,0,1,1
BUENOS AIRES,Escalada,213,0,0,0,0,0,0,0,0,0
BUENOS AIRES,Lima,10219,1,1,0,1,0,0,1,1,1
BUENOS AIRES,Zárate,98522,1,1,0,1,1,0,1,1,1
CORDOBA,Alta Gracia,48140,1,1,0,1,0,1,1,1,1
CORDOBA,Anisacate,2991,1,0,0,1,0,1,1,0,0
CORDOBA,Barrio Gilbert,1277,0,0,0,0,0,0,0,0,0
CORDOBA,Barrio Las Quintas,0,0,0,0,0,0,0,0,1,0
CORDOBA,Barrio Villa del Parque,0,0,0,0,0,0,0,0,0,0
CORDOBA,Bouwer,841,0,0,0,0,0,0,1,1,1
CORDOBA,Campos del Virrey,188,0,0,0,0,0,0,0,0,0
CORDOBA,Caseros Centro,243,0,0,0,0,0,0,0,0,1
CABA,MONSERRAT,39914,1,1,1,1,1,1,1,1,1
FORMOSA,Las Lomitas,12399,1,0,0,1,1,1,1,1,1
FORMOSA,Posta Cambio Zalazar,603,0,0,0,0,0,1,0,0,1
FORMOSA,Pozo del Tigre,4517,1,0,0,0,0,1,1,1,1
FORMOSA,San Martín I,66,0,0,0,0,0,0,0,0,0
FORMOSA,San Martín II,3119,0,0,0,1,0,1,1,0,1
FORMOSA,Subteniente Perín,1163,0,0,0,0,1,1,0,0,1
FORMOSA,Villa General Güemes,3907,0,0,0,1,0,1,1,0,1
CABA,FLORESTA,37575,1,1,1,1,1,1,1,1,1
CORDOBA,Causana,55,0,0,0,0,0,0,0,0,0
CORDOBA,Costa Azul,201,0,0,0,0,0,0,0,1,1
CORDOBA,Despeñaderos,5758,1,0,0,1,0,1,1,1,1
CORDOBA,Dique Chico,167,0,0,0,0,0,0,0,0,0
CORDOBA,El Potrerillo,85,0,0,0,0,0,0,0,1,1
CORDOBA,Falda del Cañete,29,0,0,0,0,0,0,0,1,1
CORDOBA,Falda del Carmen,170,0,0,0,0,0,0,1,0,1
CORDOBA,José de la Quintana,419,0,0,0,0,0,0,0,0,1
CORDOBA,La Boca del Río,80,0,0,0,0,0,0,1,0,0
CORDOBA,La Carbonada,207,0,0,0,0,0,0,0,0,1
CABA,PATERNAL,19717,1,1,1,1,1,1,1,1,1
CORDOBA,La Cumbrecita,0,0,0,0,0,0,1,1,0,0
CORDOBA,La Donosa,0,0,0,0,0,0,1,0,0,0
CORDOBA,La Paisanita,60,1,0,0,0,0,1,1,0,1
CORDOBA,La Perla,895,0,0,0,0,0,0,0,1,1
CORDOBA,La Rancherita,129,0,0,0,0,0,1,0,0,0
CORDOBA,La Serranita,430,0,0,0,0,0,1,1,1,1
CORDOBA,Los Cedros - Las Quintas,1069,0,0,0,0,0,0,1,1,1
CORDOBA,Lozada,1013,0,0,0,0,0,1,1,1,1
BUENOS AIRES,Rivera,3217,0,0,1,1,0,0,1,0,1
BUENOS AIRES,Thames,0,0,0,0,0,0,0,0,0,0
BUENOS AIRES,Villa Margarita,0,0,0,0,0,0,0,0,0,0
BUENOS AIRES,Yutuyaco,16,0,0,0,0,0,0,0,0,0
BUENOS AIRES,Adolfo Gonzales Chaves (Est. Chaves),9066,1,0,1,1,0,1,1,1,1
BUENOS AIRES,De la Garma,1625,1,0,0,1,0,1,1,1,1
BUENOS AIRES,Juan E. Barra,212,0,0,0,0,0,1,1,0,0
BUENOS AIRES,Vásquez,43,0,0,0,0,0,1,1,1,1
BUENOS AIRES,Alberti (Est. Andrés Vaccarezza),8260,1,0,1,1,0,0,1,1,1
BUENOS AIRES,Coronel Seguí,146,0,0,0,0,0,0,0,0,0
BUENOS AIRES,Mechita,412,1,0,0,0,0,0,0,1,1
BUENOS AIRES,Pla,192,0,0,0,0,0,0,1,0,0
BUENOS AIRES,Villa Grisolía (Est. Achupallas),112,0,0,0,0,0,0,0,1,1
BUENOS AIRES,Villa María,24,0,0,0,0,0,0,0,0,0
BUENOS AIRES,Villa Ortiz (Est. Coronel Mom),815,0,0,0,0,0,0,1,1,1
BUENOS AIRES,Barrio Río Salado,265,0,0,0,0,0,0,0,0,0
BUENOS AIRES,Loma Verde,657,0,0,0,0,0,1,1,1,1
BUENOS AIRES,Sierra de los Padres,4249,1,0,1,1,0,1,1,1,1
BUENOS AIRES,Barrio Ruta 24 Kilómetro 10,0,0,0,0,1,0,0,0,1,1
BUENOS AIRES,Country Club Bosque Real - Barrio Morabo,0,0,0,0,0,0,0,0,1,1
BUENOS AIRES,General Rodríguez,85315,1,1,1,1,1,1,1,1,1
BUENOS AIRES,Barrio Parque General San Martin,421,0,0,0,1,0,1,1,0,1
BUENOS AIRES,Billinghurst,19664,1,1,0,1,0,0,1,1,1
BUENOS AIRES,Ciudad Del Libertador General San Martin,29180,1,1,0,1,1,1,1,1,1
BUENOS AIRES,Ciudad Jardin El Libertador,63479,0,0,0,0,0,0,0,1,1
BUENOS AIRES,Va Ma Irene De Los Remedios De Escalada,1265,0,1,0,0,0,0,0,1,1
BUENOS AIRES,Villa Ayacucho,3939,0,1,0,1,0,0,0,1,1
BUENOS AIRES,Juan José Paso,2176,0,0,0,1,0,1,1,1,1
BUENOS AIRES,Magdala,195,0,0,0,0,0,1,1,0,0
BUENOS AIRES,Mones Cazón,1764,0,0,1,0,0,1,1,1,1
BUENOS AIRES,Nueva Plata,206,0,0,0,0,0,1,1,0,0
BUENOS AIRES,Pehuajó,31533,1,0,1,1,0,1,1,1,1
BUENOS AIRES,San Bernardo (Est. Guanaco),282,0,0,0,0,0,1,1,0,0
BUENOS AIRES,San Esteban,92,0,0,0,0,0,1,0,0,0
BUENOS AIRES,Bocayuva,83,0,0,0,0,0,0,0,0,1
BUENOS AIRES,De Bary,63,0,0,0,0,0,0,0,0,0
BUENOS AIRES,Pellegrini,5115,1,1,1,1,1,1,1,1,1
BUENOS AIRES,Acevedo,1499,1,1,0,0,0,1,1,1,1
BUENOS AIRES,Fontezuela,365,1,0,0,1,0,1,1,0,0
BUENOS AIRES,Guerrico,774,0,1,0,0,0,1,0,1,1
BUENOS AIRES,Juan A. de la Peña,211,0,0,0,0,0,1,0,0,0
BUENOS AIRES,Juan Anchorena (Est. Urquiza),976,1,0,0,1,0,1,1,1,1
CABA,PUERTO MADERO,6726,1,1,1,1,1,1,1,1,1
CATAMARCA,Los Varela,443,0,0,0,0,1,0,0,0,1
CATAMARCA,Singuil,295,0,0,0,0,0,0,0,0,1
CATAMARCA,Ancasti,361,0,0,0,0,1,0,0,0,1
CATAMARCA,Anquincila,202,0,0,0,0,0,0,0,0,0
CATAMARCA,La Candelaria,77,0,0,0,0,0,0,0,0,0
CATAMARCA,La Majada,154,0,0,0,0,0,0,0,0,0
CATAMARCA,Aconquija,0,0,0,0,0,1,0,0,1,1
CATAMARCA,Alto De Las Juntas,0,0,0,0,0,0,0,0,0,0
CATAMARCA,Amanao,29,0,0,0,0,0,0,0,1,0
CATAMARCA,Andalgalá,12600,1,0,0,0,1,1,1,1,1
CABA,MONTE CASTRO,33623,1,1,1,1,1,1,1,1,1
CORDOBA,Malagueño,7136,1,0,0,1,0,1,1,1,1
CORDOBA,Mi Valle,0,0,0,0,0,0,0,0,0,0
CORDOBA,Milenica,0,0,0,0,0,0,0,0,1,1
CORDOBA,Monte Ralo,518,0,0,0,0,0,1,0,1,1
CORDOBA,Potrero de Garay,1017,0,0,0,1,0,1,1,1,1
CORDOBA,Rafael García,555,0,0,0,0,0,1,1,0,1
CORDOBA,San Clemente,134,0,0,0,1,0,0,1,1,1
CABA,VILLA CRESPO,81959,1,1,1,1,1,1,1,1,1
FORMOSA,Villa General Manuel Belgrano,4676,0,0,0,1,0,1,1,0,1
FORMOSA,Buena Vista,887,0,0,0,1,0,1,1,0,1
FORMOSA,El Espinillo,4060,0,0,0,0,0,1,1,1,1
FORMOSA,Laguna Gallo,261,0,0,0,0,0,0,0,0,0
FORMOSA,Misión Tacaagle,2244,0,0,0,0,0,1,1,0,1
FORMOSA,Portón Negro,417,0,0,0,0,0,0,0,0,0
FORMOSA,Tres Lagunas,1598,1,0,0,0,1,1,1,0,1
JUJUY,Valle Grande,538,0,0,0,0,0,1,0,0,0
JUJUY,Barrios,187,0,0,0,1,0,0,0,0,0
